k,x,y,f,||∇f||,α,Nf
0,-3.0,-2.0,21.5,7.810249675906654,0.6180339887498948,18
1,0.09016994374947407,1.7082039324993685,2.3252782318865135,2.37774306513302,0.7294901687515771,36
2,1.4833721937705042,0.6749483200403787,0.23911073972932279,0.8303846510791186,0.6180339887498948,54
3,1.8026657375536272,1.0767342926709766,0.025358557239342057,0.24998683529760984,0.7294901687515771,72
4,1.9466191419660996,0.9647804684518093,0.0026651734046917114,0.08838086678875366,0.6180339887498948,90
5,1.979610326579683,1.0083142035810715,0.00027699537228109385,0.026310505638189312,0.7294901687515771,108
6,1.9944843928838596,0.9961839440342899,2.977324406324106e-05,0.009416530910762494,0.6180339887498948,126
7,1.997893225550225,1.000900848613851,3.0307775161896346e-06,0.0027721131799647238,0.6869176962471608,144
8,1.9993404062017768,0.999663230904863,3.309454127666792e-07,0.0009427182359603415,0.6606064612543112,162
9,1.9997761381266863,1.0001081745852596,3.675881005783954e-08,0.00031132154102766986,0.6869176962471608,180
10,1.9999299128089805,0.9999595605114616,4.0914594057497805e-09,0.0001070216019221869,0.6180339887498948,198
11,1.9999732290752066,1.0000095464682703,4.494762635839927e-10,3.288195006445237e-05,0.755801403744427,216
12,1.999993462577745,0.9999951160000313,4.522240056470454e-11,1.1753795664270932e-05,0.5754615162454784,234
13,1.9999972246126683,1.000000737108086,4.394715750873167e-12,3.142624406821556e-06,0.7983738762488433,252
14,1.9999994404094104,0.9999995601324064,3.5005431388316e-13,1.0426291898439772e-06,0.5754615162454784,270
